"","S5","S6","S7","S8","S17","S18","S19","S20"
"ASV_44",34,16,46,34,3,1,27,4
"ASV_1",89,299,432,264,161,151,237,308
"ASV_27",15,21,0,17,40,38,12,3
"ASV_8",31,63,0,29,17,11,20,18
"ASV_12",72,63,39,22,26,28,23,18
"ASV_57",17,1,0,1,8,3,0,2
"ASV_3",24,81,0,71,42,32,31,45
"ASV_35",13,81,0,16,16,40,8,3
"ASV_2",76,157,210,126,58,127,64,56
"ASV_40",18,0,43,13,8,11,9,5
"ASV_87",0,20,0,11,1,5,0,2
"ASV_21",0,18,0,12,21,53,54,25
"ASV_23",0,18,0,11,25,14,44,15
"ASV_64",0,13,0,8,11,9,3,5
"ASV_52",0,76,0,19,22,6,6,4
