"","S101","S102","S103","S104","S113","S114","S115","S116"
"ASV_44",12,8,6,7,0,1,4,5
"ASV_1",154,241,229,218,321,195,218,230
"ASV_62",6,8,0,21,18,7,0,2
"ASV_27",2,13,0,6,42,1,5,12
"ASV_58",16,18,1,0,2,3,10,14
"ASV_17",17,7,18,10,11,34,0,13
"ASV_8",4,19,12,16,19,16,18,15
"ASV_12",59,70,0,71,31,25,3,38
"ASV_57",19,2,0,6,3,1,1,2
"ASV_85",5,10,0,6,5,2,2,3
"ASV_3",10,35,0,30,37,31,9,38
"ASV_20",1,0,21,1,12,32,13,42
"ASV_35",10,4,1,34,6,14,9,6
"ASV_7",57,0,13,104,31,76,13,14
"ASV_43",9,0,26,14,10,2,10,4
"ASV_134",0,1,0,2,0,2,1,9
"ASV_2",86,69,214,106,154,202,76,41
"ASV_4",6,20,22,11,2,0,52,43
"ASV_40",16,17,14,14,5,12,7,9
"ASV_21",22,0,13,0,10,0,15,30
"ASV_23",5,0,16,0,15,0,20,18
"ASV_64",4,0,9,0,13,0,6,4
"ASV_10",19,0,28,0,25,0,20,6
"ASV_52",21,0,22,0,23,0,6,4
