"","S29","S30","S31","S32","S41","S42","S43","S44"
"ASV_44",12,12,15,6,2,11,12,4
"ASV_54",3,3,0,7,2,2,4,3
"ASV_1",262,192,353,225,160,436,239,163
"ASV_47",2,6,1,3,10,1,3,9
"ASV_62",1,3,1,8,7,2,5,0
"ASV_27",44,10,6,20,40,3,6,10
"ASV_17",12,8,13,27,43,19,22,40
"ASV_8",27,24,14,27,15,7,7,27
"ASV_12",16,37,9,6,47,48,13,8
"ASV_57",0,5,3,4,7,2,10,2
"ASV_3",29,21,12,34,34,1,20,25
"ASV_33",7,18,0,6,9,1,13,12
"ASV_20",12,14,7,7,51,0,28,17
"ASV_35",9,11,9,33,25,0,1,8
"ASV_7",25,7,33,18,63,17,25,45
"ASV_13",36,15,44,12,13,55,41,85
"ASV_99",7,5,4,0,4,0,4,0
"ASV_32",16,22,5,0,18,1,4,0
"ASV_26",7,11,3,34,29,21,25,0
"ASV_66",4,9,1,13,2,0,3,3
"ASV_28",26,11,0,13,9,21,0,8
"ASV_2",121,70,86,114,92,239,57,53
"ASV_9",13,16,23,32,7,0,12,19
"ASV_18",14,11,18,16,0,22,6,15
"ASV_14",3,15,37,16,1,0,11,26
"ASV_40",10,5,4,3,7,17,6,7
"ASV_21",21,16,36,11,3,0,51,26
"ASV_23",20,17,32,14,20,0,43,17
"ASV_64",9,4,17,6,14,0,18,3
"ASV_10",24,29,45,27,39,0,24,14
"ASV_52",10,5,24,16,7,0,10,1
