PSV_1	NS-Delta-1_OTU10_1-KM117076	99.248	133	0	1	1	132	1	133	3.94e-93	259	N/A
PSV_2	NS-Delta-2.1_OTU2_1-KF004224	99.248	133	0	1	1	132	1	133	4.26e-93	259	N/A
PSV_7	NS-Gamma-2.2.1_OTU1_1-DQ312283	99.248	133	0	1	1	132	1	133	7.21e-93	259	N/A
PSV_8	NS-Delta-2.1_OTU2_1-KF004224	98.496	133	1	1	1	132	1	133	1.17e-92	258	N/A
PSV_9	NS-Gamma-2.1.1_OTU2_1-JQ638724	99.248	133	0	1	1	132	1	133	4.07e-93	259	N/A
PSV_10	NS-Gamma-2.3.Incertae_sedis_OTU2_1-KC469623	99.248	133	0	1	1	132	1	133	9.59e-93	258	N/A
PSV_11	NS-Beta-1_OTU4_1-JQ277487	99.248	133	0	1	1	132	1	133	4.07e-93	259	N/A
PSV_12	NS-Delta-1.Incertae_sedis.3_OTU2_1-EU672033	99.248	133	0	1	1	132	1	133	6.25e-93	259	N/A
PSV_18	NS-Gamma-1.2_OTU3_1-KC137409	99.248	133	0	1	1	132	1	133	5.48e-93	259	N/A
PSV_29	NS-Gamma-1.Incertae_sedis_OTU1_1-EU651089	98.496	133	1	1	1	132	1	133	1.26e-92	258	N/A
PSV_34	NS-Gamma-2.2.1_OTU8_1-KF709701	99.248	133	0	1	1	132	1	133	5.73e-93	259	N/A
PSV_38	NT-Alpha-1.1.1.1-FJ517347	99.248	133	0	1	1	132	1	133	5.36e-93	259	N/A
PSV_41	NS-Beta-1_OTU4_1-JQ277487	98.496	133	1	1	1	132	1	133	1.18e-92	258	N/A
PSV_44	NS-Zeta-1.2_OTU6_1-JF748179	99.248	133	0	1	1	132	1	133	8.30e-94	261	N/A
PSV_53	NS-Gamma-1.2_OTU3_1-KC137409	98.496	133	1	1	1	132	1	133	8.98e-93	258	N/A
PSV_91	NS-Beta-2_OTU4_1-KF003948	97.744	133	2	1	1	132	1	133	5.20e-92	256	N/A
PSV_94	NS-Beta-2_OTU1_1-AB645413	99.248	133	0	1	1	132	1	133	9.18e-93	258	N/A
PSV_113	NS-Epsilon-2.2_OTU7_1-KJ081253	98.496	133	1	1	1	132	1	133	1.41e-92	258	N/A
PSV_115	NS-Delta-1.2.1_OTU6_1-EU590133	99.248	133	0	1	1	132	1	133	7.87e-93	259	N/A
PSV_118	NT-Alpha-1.1.1.1-JN179633	99.248	133	0	1	1	132	1	133	1.36e-93	261	N/A
PSV_124	NS-Alpha-3.1.2_OTU2_1-KC137506	99.248	133	0	1	1	132	1	133	5.42e-93	259	N/A
PSV_129	NS-Beta-2_OTU1_1-AB645413	98.496	133	1	1	1	132	1	133	5.87e-92	256	N/A
